epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,14163.5,1.26773,0.89985,1.401,0.91936,0.90498,0.95017,0.67506,1.15236,1.08583,1.35088,0.00033425,0.00033425,0.00033425
76,14350.5,1.28169,0.9008,1.41067,0.92202,0.90633,0.95745,0.67808,1.16588,1.04054,1.37768,0.000321875,0.000321875,0.000321875
77,14536.3,1.25144,0.89102,1.40803,0.93223,0.91171,0.96195,0.68394,1.16406,0.97727,1.35401,0.0003095,0.0003095,0.0003095
78,14723.9,1.2582,0.8798,1.3965,0.90987,0.91581,0.95588,0.6788,1.13746,1.0438,1.34704,0.000297125,0.000297125,0.000297125
79,14909.8,1.25956,0.85709,1.40426,0.92753,0.90569,0.96089,0.68631,1.15723,1.0195,1.34885,0.00028475,0.00028475,0.00028475
80,15097.4,1.2686,0.93159,1.42213,0.92854,0.9098,0.96036,0.68375,1.15571,0.97724,1.34063,0.000272375,0.000272375,0.000272375
81,15283.6,1.21466,0.85492,1.35616,0.92931,0.90981,0.96008,0.68847,1.13512,0.96516,1.34435,0.00026,0.00026,0.00026
82,15470.6,1.25614,0.86374,1.4242,0.93082,0.90554,0.95907,0.68547,1.15752,0.95065,1.34257,0.000247625,0.000247625,0.000247625
83,15660.8,1.2221,0.84273,1.37824,0.91763,0.91921,0.95947,0.68274,1.14214,1.02168,1.34364,0.00023525,0.00023525,0.00023525
84,15850.4,1.2163,0.83601,1.36752,0.93293,0.92164,0.96467,0.69004,1.13862,0.97821,1.33306,0.000222875,0.000222875,0.000222875
85,16040.7,1.21682,0.83964,1.36181,0.92074,0.89838,0.95399,0.67686,1.15853,0.99097,1.36282,0.0002105,0.0002105,0.0002105
86,16228.7,1.20868,0.83354,1.34545,0.92364,0.92433,0.96424,0.69723,1.12256,0.99524,1.32407,0.000198125,0.000198125,0.000198125
87,16414.7,1.24434,0.86341,1.36889,0.9411,0.91078,0.96567,0.70192,1.09853,0.92801,1.31906,0.00018575,0.00018575,0.00018575
88,16602.2,1.17961,0.81908,1.35606,0.92748,0.92134,0.96547,0.69967,1.13807,0.93158,1.32187,0.000173375,0.000173375,0.000173375
89,16788.8,1.21257,0.84326,1.38935,0.9386,0.9195,0.9665,0.70376,1.11474,0.9387,1.32589,0.000161,0.000161,0.000161
90,16976.4,1.17661,0.78591,1.32444,0.94042,0.91711,0.9669,0.70194,1.11913,0.97712,1.3292,0.000148625,0.000148625,0.000148625
91,17161.1,1.13674,0.82986,1.35336,0.91471,0.93296,0.96469,0.69338,1.13325,0.95531,1.3199,0.00013625,0.00013625,0.00013625
92,17345,1.14252,0.81266,1.36238,0.92035,0.92842,0.96627,0.70434,1.103,0.91415,1.30997,0.000123875,0.000123875,0.000123875
93,17530.3,1.13479,0.76002,1.33208,0.92124,0.93362,0.96777,0.69782,1.11258,0.9573,1.32832,0.0001115,0.0001115,0.0001115
94,17715.9,1.10569,0.76241,1.3611,0.93458,0.91779,0.96635,0.69804,1.10474,0.95529,1.31554,9.9125e-05,9.9125e-05,9.9125e-05
95,17902.3,1.10529,0.77604,1.36755,0.9341,0.92362,0.96749,0.70802,1.08558,0.95966,1.30662,8.675e-05,8.675e-05,8.675e-05
96,18087.1,1.12057,0.75194,1.35313,0.93245,0.93019,0.96843,0.71007,1.08754,0.93794,1.30122,7.4375e-05,7.4375e-05,7.4375e-05
97,18272.2,1.10664,0.75716,1.35718,0.93789,0.93006,0.96899,0.70901,1.08158,0.93774,1.29628,6.2e-05,6.2e-05,6.2e-05
98,18459.4,1.09787,0.75029,1.34826,0.93607,0.92839,0.9688,0.7105,1.07477,0.91716,1.29802,4.9625e-05,4.9625e-05,4.9625e-05
99,18644.4,1.09228,0.74487,1.32395,0.93605,0.92878,0.96976,0.7114,1.07016,0.90954,1.29883,3.725e-05,3.725e-05,3.725e-05
100,18829.9,1.06475,0.72858,1.33657,0.93702,0.92818,0.96978,0.71231,1.0676,0.89558,1.29557,2.4875e-05,2.4875e-05,2.4875e-05
